Current Depth: -10, Current Depth Rate: 0.0, Thrust in z direction: -9.6, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.107092387895769, Current Depth Rate: -1.361531431672583, Thrust in z direction: -7.9661622819929, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.11049621647495, Current Depth Rate: -1.3814468373775652, Thrust in z direction: -7.9661622819929, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.113949833568393, Current Depth Rate: -1.4013622430825474, Thrust in z direction: -7.918365308300943, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.117453239176099, Current Depth Rate: -1.4211581563532998, Thrust in z direction: -7.918365308300943, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.121006134566983, Current Depth Rate: -1.4409540696240521, Thrust in z direction: -7.870855116451137, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.124608519741043, Current Depth Rate: -1.46063120741518, Thrust in z direction: -7.870855116451137, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.128260097759581, Current Depth Rate: -1.4803083452063077, Thrust in z direction: -7.82362998575243, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.131960868622597, Current Depth Rate: -1.4998674201706887, Thrust in z direction: -7.82362998575243, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.135710537173024, Current Depth Rate: -1.5194264951350698, Thrust in z direction: -7.776688205837916, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.13950910341086, Current Depth Rate: -1.5388682156496645, Thrust in z direction: -7.776688205837916, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.143356273949985, Current Depth Rate: -1.5583099361642592, Thrust in z direction: -7.730028076602888, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.147252048790396, Current Depth Rate: -1.5776350063557665, Thrust in z direction: -7.730028076602888, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.151196136306286, Current Depth Rate: -1.5969600765472738, Thrust in z direction: -7.683647908143271, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.155188536497654, Current Depth Rate: -1.616169196317632, Thrust in z direction: -7.683647908143271, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.159228959488448, Current Depth Rate: -1.63537831608799, Thrust in z direction: -7.637546020694412, desired depth: -20, desired depth rate: -8.0
